Time Instance,Trustor,Trustee,Pack_f,Pack_d,Pack_f Count,Pack_d Count,pdr,Frd1,CoI_id
246,6,1,1,0,126,139,0.475471698,1,1
247,3,1,0,1,66,68,0.492537313,1,1
247,6,1,0,1,126,140,0.473684211,1,1
248,6,1,1,0,127,140,0.475655431,1,1
248,3,1,0,1,66,69,0.488888889,1,1
249,3,1,1,0,67,69,0.492647059,1,1
250,6,1,1,0,128,140,0.47761194,1,1
250,6,1,1,0,129,140,0.479553903,1,1
251,3,1,1,0,68,69,0.496350365,1,1
251,6,1,0,1,129,141,0.477777778,1,1
252,3,1,0,1,68,70,0.492753623,1,1
253,6,1,1,0,130,141,0.479704797,1,1
253,3,1,1,0,69,70,0.496402878,1,1
254,6,1,0,1,130,142,0.477941176,1,1
254,6,1,0,1,130,143,0.476190476,1,1
255,3,1,1,0,70,70,0.5,1,1
255,6,1,0,1,130,144,0.474452555,1,1
256,6,1,0,1,130,145,0.472727273,1,1
256,3,1,0,1,70,71,0.496453901,1,1
257,6,1,0,1,130,146,0.471014493,1,1
258,6,1,1,0,131,146,0.472924188,1,1
259,3,1,1,0,71,71,0.5,1,1
259,6,1,0,1,131,147,0.471223022,1,1
260,3,1,0,1,71,72,0.496503497,1,1
261,6,1,0,1,131,148,0.46953405,1,1
262,6,1,0,1,131,149,0.467857143,1,1
264,3,1,0,1,71,73,0.493055556,1,1
264,6,1,0,1,131,150,0.466192171,1,1
265,6,1,1,0,132,150,0.468085106,1,1
265,3,1,1,0,72,73,0.496551724,1,1
266,6,1,1,0,133,150,0.469964664,1,1
267,6,1,0,1,133,151,0.468309859,1,1
267,6,1,1,0,134,151,0.470175439,1,1
268,6,1,1,0,135,151,0.472027972,1,1
269,6,1,0,1,135,152,0.470383275,1,1
269,3,1,0,1,72,74,0.493150685,1,1
270,6,1,1,0,136,152,0.472222222,1,1
270,6,1,0,1,136,153,0.470588235,1,1
272,6,1,1,0,137,153,0.472413793,1,1
272,6,1,0,1,137,154,0.470790378,1,1
273,3,1,0,1,72,75,0.489795918,1,1
273,6,1,1,0,138,154,0.47260274,1,1
274,6,1,1,0,139,154,0.47440273,1,1
274,3,1,0,1,72,76,0.486486486,1,1
275,6,1,0,1,139,155,0.472789116,1,1
276,3,1,0,1,72,77,0.483221477,1,1
276,6,1,1,0,140,155,0.474576271,1,1
277,6,1,0,1,140,156,0.472972973,1,1
277,6,1,1,0,141,156,0.474747475,1,1
278,3,1,0,1,72,78,0.48,1,1
278,6,1,0,1,141,157,0.473154362,1,1
279,6,1,1,0,142,157,0.474916388,1,1
279,6,1,1,0,143,157,0.476666667,1,1
280,3,1,0,1,72,79,0.476821192,1,1
281,6,1,1,0,144,157,0.478405316,1,1
281,3,1,1,0,73,79,0.480263158,1,1
282,6,1,1,0,145,157,0.48013245,1,1
283,6,1,0,1,145,158,0.478547855,1,1
284,6,1,0,1,145,159,0.476973684,1,1
284,3,1,1,0,74,79,0.483660131,1,1
285,6,1,1,0,146,159,0.478688525,1,1
286,6,1,0,1,146,160,0.477124183,1,1
286,3,1,0,1,74,80,0.480519481,1,1
287,6,1,1,0,147,160,0.478827362,1,1
287,6,1,1,0,148,160,0.480519481,1,1
288,3,1,1,0,75,80,0.483870968,1,1
288,6,1,1,0,149,160,0.482200647,1,1
289,6,1,1,0,150,160,0.483870968,1,1
289,3,1,1,0,76,80,0.487179487,1,1
290,6,1,0,1,150,161,0.482315113,1,1
291,6,1,0,1,150,162,0.480769231,1,1
291,3,1,1,0,77,80,0.49044586,1,1
292,6,1,0,1,150,163,0.479233227,1,1
293,3,1,1,0,78,80,0.493670886,1,1
293,6,1,0,1,150,164,0.477707006,1,1
294,6,1,1,0,151,164,0.479365079,1,1
294,6,1,0,1,151,165,0.477848101,1,1
295,6,1,1,0,152,165,0.479495268,1,1
295,3,1,0,1,78,81,0.490566038,1,1
296,6,1,0,1,152,166,0.477987421,1,1
296,6,1,1,0,153,166,0.479623824,1,1
297,3,1,1,0,79,81,0.49375,1,1
297,6,1,0,1,153,167,0.478125,1,1
298,6,1,0,1,153,168,0.476635514,1,1
298,6,1,1,0,154,168,0.47826087,1,1
299,6,1,0,1,154,169,0.476780186,1,1
300,3,1,1,0,80,81,0.49689441,1,1
300,6,1,0,1,154,170,0.475308642,1,1
301,3,1,1,0,81,81,0.5,1,1
302,6,1,1,0,155,170,0.476923077,1,1
303,3,1,1,0,82,81,0.503067485,1,1
303,6,1,1,0,156,170,0.478527607,1,1
304,3,1,1,0,83,81,0.506097561,1,1
304,6,1,1,0,157,170,0.480122324,1,1
305,3,1,1,0,84,81,0.509090909,1,1
305,6,1,1,0,158,170,0.481707317,1,1
306,6,1,0,1,158,171,0.480243161,1,1
308,3,1,1,0,85,81,0.512048193,1,1
308,6,1,0,1,158,172,0.478787879,1,1
309,3,1,1,0,86,81,0.51497006,1,1
310,6,1,1,0,159,172,0.480362538,1,1
311,3,1,0,1,86,82,0.511904762,1,1
312,6,1,1,0,160,172,0.481927711,1,1
312,6,1,0,1,160,173,0.48048048,1,1
313,6,1,1,0,161,173,0.482035928,1,1
314,6,1,1,0,162,173,0.48358209,1,1
314,3,1,1,0,87,82,0.514792899,1,1
315,6,1,1,0,163,173,0.485119048,1,1
315,6,1,0,1,163,174,0.483679525,1,1
316,3,1,1,0,88,82,0.517647059,1,1
317,6,1,0,1,163,175,0.482248521,1,1
317,3,1,1,0,89,82,0.520467836,1,1
318,6,1,1,0,164,175,0.483775811,1,1
319,6,1,0,1,164,176,0.482352941,1,1
320,3,1,1,0,90,82,0.523255814,1,1
320,6,1,1,0,165,176,0.483870968,1,1
321,6,1,0,1,165,177,0.48245614,1,1
322,3,1,1,0,91,82,0.526011561,1,1
322,6,1,1,0,166,177,0.483965015,1,1
323,6,1,0,1,166,178,0.48255814,1,1
324,3,1,0,1,91,83,0.522988506,1,1
324,6,1,0,1,166,179,0.48115942,1,1
325,6,1,1,0,167,179,0.48265896,1,1
325,6,1,1,0,168,179,0.484149856,1,1
326,3,1,1,0,92,83,0.525714286,1,1
328,6,1,0,1,168,180,0.482758621,1,1
328,3,1,1,0,93,83,0.528409091,1,1
329,3,1,1,0,94,83,0.531073446,1,1
329,6,1,1,0,169,180,0.484240688,1,1
330,6,1,0,1,169,181,0.482857143,1,1
330,3,1,1,0,95,83,0.533707865,1,1
331,6,1,0,1,169,182,0.481481481,1,1
332,6,1,1,0,170,182,0.482954545,1,1
332,3,1,1,0,96,83,0.536312849,1,1
333,3,1,1,0,97,83,0.538888889,1,1
333,6,1,0,1,170,183,0.481586402,1,1
334,6,1,1,0,171,183,0.483050847,1,1
335,3,1,0,1,97,84,0.535911602,1,1
335,6,1,1,0,172,183,0.484507042,1,1
336,3,1,0,1,97,85,0.532967033,1,1
337,6,1,0,1,172,184,0.483146067,1,1
337,6,1,1,0,173,184,0.484593838,1,1
338,3,1,0,1,97,86,0.530054645,1,1
339,6,1,1,0,174,184,0.48603352,1,1
339,6,1,0,1,174,185,0.484679666,1,1
340,3,1,0,1,97,87,0.527173913,1,1
341,6,1,0,1,174,186,0.483333333,1,1
341,6,1,1,0,175,186,0.484764543,1,1
342,6,1,0,1,175,187,0.483425414,1,1
343,3,1,1,0,98,87,0.52972973,1,1
343,6,1,1,0,176,187,0.484848485,1,1
344,3,1,1,0,99,87,0.532258065,1,1
344,6,1,1,0,177,187,0.486263736,1,1
346,3,1,1,0,100,87,0.534759358,1,1
347,6,1,0,1,177,188,0.484931507,1,1
347,6,1,0,1,177,189,0.483606557,1,1
349,3,1,0,1,100,88,0.531914894,1,1
350,6,1,0,1,177,190,0.482288828,1,1
350,6,1,0,1,177,191,0.480978261,1,1
351,3,1,1,0,101,88,0.534391534,1,1
352,6,1,0,1,177,192,0.479674797,1,1
352,6,1,0,1,177,193,0.478378378,1,1
353,3,1,0,1,101,89,0.531578947,1,1
354,6,1,1,0,178,193,0.479784367,1,1
354,6,1,1,0,179,193,0.481182796,1,1
356,3,1,1,0,102,89,0.534031414,1,1
356,6,1,1,0,180,193,0.482573727,1,1
357,6,1,1,0,181,193,0.483957219,1,1
357,6,1,1,0,182,193,0.485333333,1,1
358,6,1,0,1,182,194,0.484042553,1,1
358,3,1,0,1,102,90,0.53125,1,1
359,6,1,0,1,182,195,0.482758621,1,1
359,3,1,0,1,102,91,0.528497409,1,1
360,6,1,1,0,183,195,0.484126984,1,1
360,6,1,1,0,184,195,0.485488127,1,1
361,3,1,1,0,103,91,0.530927835,1,1
361,6,1,0,1,184,196,0.484210526,1,1
363,6,1,0,1,184,197,0.482939633,1,1
363,3,1,1,0,104,91,0.533333333,1,1
